ville,iata
PARIS (intramuros),FRPNO
PAU,FRAEE
HENDAYE,FRAEF
BIARRITZ,FRBIQ
ORTHEZ,FRGFI
LOURDES,FRLDE
BAYONNE,FRXBY
TOURS,FRAFW
ANGERS SAINT LAUD,FRACL
SABLE SUR SARTHE,FRSAB
LYON (intramuros),FRLPD
BELLEGARDE SUR VALSERINE GARE,FRXBF
LILLE (intramuros),FRLLE
NIORT,FRNIT
DIJON VILLE,FRABA
STRASBOURG,FRAEG
AIX EN PROVENCE TGV,FRAIE
AVIGNON TGV,FRAVG
MARSEILLE ST CHARLES,FRMSC
BESANCON FRANCHE COMTE TGV,FRTJB
VALENCE TGV AUVERGNE RHONE ALPES,FRVLA
CHALON SUR SAONE,FRXCD
PERPIGNAN,FRPGF
AGDE,FRXAG
NARBONNE,FRXNA
SETE,FRXSY
BEZIERS,FRBZR
LYON (intramuros),FRLPE
PARIS (intramuros),FRPLY
QUIMPERLE,FRECO
LORIENT,FRLRT
QUIMPER,FRUIP
VANNES,FRVNE
REDON,FRXRN
AURAY,FRXUY
TOULOUSE MATABIAU,FRXYT
LE HAVRE,FRAEZ
VERSAILLES CHANTIERS,FRDHT
ROUEN RIVE DROITE,FRURD
PARIS (intramuros),FRPMO
LUCON,FRLCN
NANTES,FRNTE
BORDEAUX ST JEAN,FRBOJ
MARMANDE,FRXMR
MASSY TGV,FRDJU
MONTAUBAN VILLE BOURBON,FRXMW
NIMES PONT DU GARD,FRXZP
LE MANS,FRAET
MORLAIX,FRMXN
RENNES,FRRNS
NANCY,FRENC
BREST,FRBES
SURGERES,FREIP
POITIERS,FRPIS
MULHOUSE VILLE,FRAEK
NIMES CENTRE,FRFNI
GENEVE CORNAVIN,CHGVA
BOURG EN BRESSE,FRXBK
PARIS (intramuros),FRPAZ
MONTPELLIER SAINT ROCH,FRMPL
THIONVILLE,FRXTH
MARNE LA VALLEE CHESSY,FRMLV
AEROPORT ROISSY CDG 2 TGV,FRMLW
AGEN,FRAGF
CARCASSONNE,FRCCF
ST NAZAIRE,FRSNR
ARLES,FRHZA
ST MALO,FRXSB
MACON LOCHE TGV,FRMLT
VALLORBE,CHAGL
BRIVE LA GAILLARDE,FRBVE
LAUSANNE,CHAJF
LA BAULE ESCOUBLAC,FRJEE
FRASNE,FRFRA
ST JEAN DE LUZ CIBOURE,FRXJZ
MOUCHARD,FRMCD
MEUSE TGV,FREAJ
ANGOULEME,FRANG
RIOM CHATEL GUYON,FRRIO
MOULINS SUR ALLIER,FRXMU
LA ROCHELLE VILLE,FRLRH
CHARLEVILLE MEZIERES,FRXCZ
ARRAS,FRQRV
LUXEMBOURG,LULUX
FRANKFURT AM MAIN HBF,DEFRH
MANNHEIM HBF,DEMHG
DAX,FRACG
ROCHEFORT,FRRCO
LA ROCHE SUR YON,FRXRO
NEVERS,FRNVS
